name,bpi_name,kpom_name,bm_name
Abilene Christian,Abilene Christian,Abilene Christian,
Air Force,Air Force,Air Force,
Akron,Akron,Akron,
Alabama,Alabama,Alabama,
Alabama A&M,Alabama A&M,Alabama A&M,
Alabama St.,Alabama State,Alabama St.,
Albany,Albany,Albany,Albany
Alcorn St.,Alcorn State,Alcorn St.,
American,American U,American,American
Appalachian St.,Appalachian St,Appalachian St.,
Arizona,Arizona,Arizona,Arizona
Arizona St.,Arizona State,Arizona St.,Arizona State
Arkansas,Arkansas,Arkansas,
Arkansas Little Rock,AR-Little Rock,Arkansas Little Rock,
Arkansas Pine Bluff,AR-Pine Bluff,Arkansas Pine Bluff,
Arkansas St.,Arkansas State,Arkansas St.,
Army,Army,Army,
Auburn,Auburn,Auburn,
Austin Peay,Austin Peay,Austin Peay,
BYU,BYU,BYU,BYU
Ball St.,Ball State,Ball St.,
Baylor,Baylor,Baylor,Baylor
Belmont,Belmont,Belmont,Belmont
Bethune Cookman,Bethune-Cookman,Bethune Cookman,
Binghamton,Binghamton,Binghamton,
Boise St.,Boise State,Boise St.,
Boston College,Boston College,Boston College,
Boston University,Boston U,Boston University,
Bowling Green,Bowling Green,Bowling Green,
Bradley,Bradley,Bradley,
Brown,Brown,Brown,
Bryant,Bryant,Bryant,
Bucknell,Bucknell,Bucknell,
Buffalo,Buffalo,Buffalo,
Butler,Butler,Butler,
Cal Poly,Cal Poly,Cal Poly,Cal Poly
Cal St. Bakersfield,CS Fullerton,Cal St. Bakersfield,
Cal St. Fullerton,CSU Bakersfield,Cal St. Fullerton,
Cal St. Northridge,CS Northridge,Cal St. Northridge,
California,California,California,California
Campbell,Campbell,Campbell,
Canisius,Canisius,Canisius,
Central Arkansas,Cent Arkansas,Central Arkansas,
Central Connecticut,Cent Conn St,Central Connecticut,
Central Michigan,Cent Michigan,Central Michigan,
Charleston Southern,Charl Southern,Charleston Southern,
Charlotte,Charlotte,Charlotte,
Chattanooga,Chattanooga,Chattanooga,
Chicago St.,Chicago State,Chicago St.,
Cincinnati,Cincinnati,Cincinnati,Cincinnati
Clemson,Clemson,Clemson,
Cleveland St.,Cleveland State,Cleveland St.,
Coastal Carolina,Coast Carolina,Coastal Carolina,Coastal Carolina
Colgate,Colgate,Colgate,
College of Charleston,Charleston,College of Charleston,
Colorado,Colorado,Colorado,Colorado
Colorado St.,Colorado State,Colorado St.,
Columbia,Columbia,Columbia,
Connecticut,Connecticut,Connecticut,Connecticut
Coppin St.,Coppin State,Coppin St.,
Cornell,Cornell,Cornell,
Creighton,Creighton,Creighton,Creighton
Dartmouth,Dartmouth,Dartmouth,
Davidson,Davidson,Davidson,
Dayton,Dayton,Dayton,Dayton
DePaul,DePaul,DePaul,
Delaware,Delaware,Delaware,Delaware
Delaware St.,Delaware State,Delaware St.,
Denver,Denver,Denver,
Detroit,Detroit,Detroit,
Drake,Drake,Drake,
Drexel,Drexel,Drexel,
Duke,Duke,Duke,Duke
Duquesne,Duquesne,Duquesne,
East Carolina,East Carolina,East Carolina,
East Tennessee St.,East Tenn St,East Tennessee St.,
Eastern Illinois,E Illinois,Eastern Illinois,
Eastern Kentucky,E Kentucky,Eastern Kentucky,Eastern Kentucky
Eastern Michigan,E Michigan,Eastern Michigan,
Eastern Washington,E Washington,Eastern Washington,
Elon,Elon,Elon,
Evansville,Evansville,Evansville,
FIU,FIU,FIU,
Fairfield,Fairfield,Fairfield,
Fairleigh Dickinson,Fair Dickinson,Fairleigh Dickinson,
Florida,Florida,Florida,Florida
Florida A&M,Florida A&M,Florida A&M,
Florida Atlantic,Florida Atl,Florida Atlantic,
Florida Gulf Coast,FGCU,Florida Gulf Coast,
Florida St.,Florida State,Florida St.,Florida State
Fordham,Fordham,Fordham,
Fresno St.,Fresno State,Fresno St.,
Furman,Furman,Furman,
Gardner Webb,Gardner-Webb,Gardner Webb,
George Mason,George Mason,George Mason,
George Washington,G. Washington,George Washington,George Washington
Georgetown,Georgetown,Georgetown,
Georgia,Georgia,Georgia,
Georgia Southern,Ga. Southern,Georgia Southern,
Georgia St.,Georgia State,Georgia St.,
Georgia Tech,Georgia Tech,Georgia Tech,
Gonzaga,Gonzaga,Gonzaga,Gonzaga
Grambling St.,Grambling St,Grambling St.,
Grand Canyon,Grand Canyon,Grand Canyon,
Green Bay,Green Bay,Green Bay,Wisconsin-Green Bay
Hampton,Hampton,Hampton,
Hartford,Hartford,Hartford,
Harvard,Harvard,Harvard,Harvard
Hawaii,Hawaii,Hawaii,
High Point,High Point,High Point,
Hofstra,Hofstra,Hofstra,
Holy Cross,Holy Cross,Holy Cross,
Houston,Houston,Houston,
Houston Baptist,Houston Baptist,Houston Baptist,
Howard,Howard,Howard,
IPFW,IPFW,IPFW,
IUPUI,IUPUI,IUPUI,
Idaho,Idaho,Idaho,
Idaho St.,Idaho State,Idaho St.,
Illinois,Illinois,Illinois,
Illinois St.,Illinois State,Illinois St.,
Incarnate Word,Incarnate Word,Incarnate Word,
Indiana,Indiana,Indiana,
Indiana St.,Indiana State,Indiana St.,
Iona,Iona,Iona,
Iowa,Iowa,Iowa,Iowa
Iowa St.,Iowa State,Iowa St.,Iowa State
Jackson St.,Jackson State,Jackson St.,
Jacksonville,Jacksonville,Jacksonville,
Jacksonville St.,Jacksonville St,Jacksonville St.,
James Madison,James Madison,James Madison,
Kansas,Kansas,Kansas,Kansas
Kansas St.,Kansas State,Kansas St.,Kansas State
Kennesaw St.,Kennesaw State,Kennesaw St.,
Kent St.,Kent State,Kent St.,
Kentucky,Kentucky,Kentucky,Kentucky
LIU Brooklyn,LIU Brooklyn,LIU Brooklyn,
LSU,LSU,LSU,
La Salle,La Salle,La Salle,
Lafayette,Lafayette,Lafayette,Louisiana-Lafayette
Lamar,Lamar,Lamar,
Lehigh,Lehigh,Lehigh,
Liberty,Liberty,Liberty,
Lipscomb,Lipscomb,Lipscomb,
Long Beach St.,Long Beach St,Long Beach St.,
Longwood,Longwood,Longwood,
Louisiana Lafayette,LA-Lafayette,Louisiana Lafayette,
Louisiana Monroe,UL Monroe,Louisiana Monroe,
Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech
Louisville,Louisville,Louisville,Louisville
Loyola Chicago,Loyola (IL),Loyola Chicago,
Loyola MD,Loyola (MD),Loyola MD,
Loyola Marymount,Loyola Mary,Loyola Marymount,
Maine,Maine,Maine,
Manhattan,Manhattan,Manhattan,Manhattan
Marist,Marist,Marist,
Marquette,Marquette,Marquette,
Marshall,Marshall,Marshall,
Maryland,Maryland,Maryland,
Maryland Eastern Shore,MD-E Shore,Maryland Eastern Shore,
Massachusetts,Massachusetts,Massachusetts,Massachusetts
McNeese St.,McNeese State,McNeese St.,
Memphis,Memphis,Memphis,Memphis
Mercer,Mercer,Mercer,Mercer
Miami FL,Miami (FL),Miami FL,
Miami OH,Miami (OH),Miami OH,
Michigan,Michigan,Michigan,Michigan
Michigan St.,Michigan State,Michigan St.,Michigan State
Middle Tennessee,Middle Tennessee,Middle Tennessee,
Milwaukee,Milwaukee,Milwaukee,Wisconsin-Milwaukee
Minnesota,Minnesota,Minnesota,Minnesota
Mississippi,Ole Miss,Mississippi,
Mississippi St.,Mississippi St,Mississippi St.,
Mississippi Valley St.,Miss Valley St,Mississippi Valley St.,
Missouri,Missouri,Missouri,Missouri
Missouri St.,Missouri State,Missouri St.,
Monmouth,Monmouth,Monmouth,
Montana,Montana,Montana,
Montana St.,Montana State,Montana St.,
Morehead St.,Morehead State,Morehead St.,
Morgan St.,Morgan State,Morgan St.,
Mount St. Mary's,Mount St Mary's,Mount St. Mary's,Mount St. Mary's
Murray St.,Murray State,Murray St.,
NJIT,N.J.I.T.,NJIT,
Navy,Navy,Navy,
Nebraska,Nebraska,Nebraska,Nebraska
Nebraska Omaha,Omaha,Nebraska Omaha,
Nevada,Nevada,Nevada,
New Hampshire,New Hampshire,New Hampshire,
New Mexico,New Mexico,New Mexico,New Mexico
New Mexico St.,New Mexico St,New Mexico St.,New Mexico State
New Orleans,New Orleans,New Orleans,
Niagara,Niagara,Niagara,
Nicholls St.,Nicholls State,Nicholls St.,
Norfolk St.,Norfolk State,Norfolk St.,
North Carolina,North Carolina,North Carolina,North Carolina
North Carolina A&T,N Carolina A&T,North Carolina A&T,
North Carolina Central,N Carolina Cent,North Carolina Central,North Carolina Central
North Carolina St.,NC State,North Carolina St.,North Carolina State
North Dakota,North Dakota,North Dakota,
North Dakota St.,North Dakota St,North Dakota St.,North Dakota State
North Florida,North Florida,North Florida,
North Texas,North Texas,North Texas,
Northeastern,Northeastern,Northeastern,
Northern Arizona,N Arizona,Northern Arizona,
Northern Colorado,N Colorado,Northern Colorado,
Northern Illinois,N Illinois,Northern Illinois,
Northern Iowa,Northern Iowa,Northern Iowa,
Northern Kentucky,NKU,Northern Kentucky,
Northwestern,Northwestern,Northwestern,
Northwestern St.,Northwestern St,Northwestern St.,
Notre Dame,Notre Dame,Notre Dame,
Oakland,Oakland,Oakland,
Ohio,Ohio,Ohio,
Ohio St.,Ohio State,Ohio St.,Ohio State
Oklahoma,Oklahoma,Oklahoma,Oklahoma
Oklahoma St.,Oklahoma State,Oklahoma St.,Oklahoma State
Old Dominion,Old Dominion,Old Dominion,
Oral Roberts,Oral Roberts,Oral Roberts,
Oregon,Oregon,Oregon,Oregon
Oregon St.,Oregon State,Oregon St.,
Pacific,Pacific,Pacific,
Penn,Pennsylvania,Penn,
Penn St.,Penn State,Penn St.,
Pepperdine,Pepperdine,Pepperdine,
Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh
Portland,Portland,Portland,
Portland St.,Portland State,Portland St.,
Prairie View A&M,PV A&M,Prairie View A&M,
Presbyterian,Presbyterian,Presbyterian,
Princeton,Princeton,Princeton,
Providence,Providence,Providence,Providence
Purdue,Purdue,Purdue,
Quinnipiac,Quinnipiac,Quinnipiac,
Radford,Radford,Radford,
Rhode Island,Rhode Island,Rhode Island,
Rice,Rice,Rice,
Richmond,Richmond,Richmond,
Rider,Rider,Rider,
Robert Morris,Robert Morris,Robert Morris,
Rutgers,Rutgers,Rutgers,
SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,
SMU,SMU,SMU,
Sacramento St.,Sacramento St,Sacramento St.,
Sacred Heart,Sacred Heart,Sacred Heart,
Saint Joseph's,Saint Joseph's,Saint Joseph's,St. Joseph's
Saint Louis,Saint Louis,Saint Louis,Saint Louis
Saint Mary's,Saint Mary's,Saint Mary's,
Saint Peter's,St. Peter's,Saint Peter's,
Sam Houston St.,Sam Houston,Sam Houston St.,
Samford,Samford,Samford,
San Diego,San Diego,San Diego,
San Diego St.,San Diego State,San Diego St.,San Diego State
San Francisco,San Francisco,San Francisco,
San Jose St.,San Jose State,San Jose St.,
Santa Clara,Santa Clara,Santa Clara,
Savannah St.,Savannah State,Savannah St.,
Seattle,Seattle U,Seattle,
Seton Hall,Seton Hall,Seton Hall,
Siena,Siena,Siena,
South Alabama,South Alabama,South Alabama,
South Carolina,South Carolina,South Carolina,
South Carolina St.,S Carolina St,South Carolina St.,
South Dakota,South Dakota,South Dakota,
South Dakota St.,South Dakota St,South Dakota St.,
South Florida,South Florida,South Florida,
Southeast Missouri St.,SE Missouri St,Southeast Missouri St.,
Southeastern Louisiana,SE Louisiana,Southeastern Louisiana,
Southern,Southern,Southern,
Southern Illinois,S Illinois,Southern Illinois,
Southern Miss,Southern Miss,Southern Miss,Southern Miss
Southern Utah,Southern Utah,Southern Utah,
St. Bonaventure,St. Bonaventure,St. Bonaventure,
St. Francis NY,St Francis (NY),St. Francis NY,
St. Francis PA,St Francis (PA),St. Francis PA,
St. John's,St. John's,St. John's,St. John's
Stanford,Stanford,Stanford,Stanford
Stephen F. Austin,SF Austin,Stephen F. Austin,Stephen F. Austin
Stetson,Stetson,Stetson,
Stony Brook,Stony Brook,Stony Brook,
Syracuse,Syracuse,Syracuse,Syracuse
TCU,TCU,TCU,
Temple,Temple,Temple,
Tennessee,Tennessee,Tennessee,Tennessee
Tennessee Martin,UT Martin,Tennessee Martin,
Tennessee St.,Tenn St,Tennessee St.,
Tennessee Tech,Tenn Tech,Tennessee Tech,
Texas,Texas,Texas,Texas
Texas A&M,Texas A&M,Texas A&M,
Texas A&M Corpus Chris,Texas A&M-CC,Texas A&M Corpus Chris,
Texas Pan American,TX-Pan American,Texas Pan American,
Texas Southern,Texas Southern,Texas Southern,Texas Southern
Texas St.,Texas State,Texas St.,
Texas Tech,Texas Tech,Texas Tech,
The Citadel,The Citadel,The Citadel,
Toledo,Toledo,Toledo,Toledo
Towson,Towson,Towson,
Troy,Troy,Troy,
Tulane,Tulane,Tulane,
Tulsa,Tulsa,Tulsa,Tulsa
UAB,UAB,UAB,
UC Davis,UC Davis,UC Davis,
UC Irvine,UC Irvine,UC Irvine,
UC Riverside,UC Riverside,UC Riverside,
UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,
UCF,UCF,UCF,
UCLA,UCLA,UCLA,UCLA
UIC,UIC,Illinois Chicago,
UMBC,UMBC,UMBC,
UMKC,UMKC,UMKC,
UMass Lowell,UMass Lowell,UMass Lowell,
UNC Asheville,UNC Asheville,UNC Asheville,
UNC Greensboro,UNC Greensboro,UNC Greensboro,
UNC Wilmington,UNC-Wilmington,UNC Wilmington,
UNLV,UNLV,UNLV,
USC,USC,USC,
USC Upstate,USC Upstate,USC Upstate,
UT Arlington,TX-Arlington,UT Arlington,
UTEP,UTEP,UTEP,
UTSA,UTSA,UTSA,
Utah,Utah,Utah,
Utah St.,Utah State,Utah St.,
Utah Valley,Utah Valley,Utah Valley,
VCU,VCU,VCU,Virginia Commonwealth
VMI,VMI,VMI,
Valparaiso,Valparaiso,Valparaiso,
Vanderbilt,Vanderbilt,Vanderbilt,
Vermont,Vermont,Vermont,
Villanova,Villanova,Villanova,Villanova
Virginia,Virginia,Virginia,Virginia
Virginia Tech,Virginia Tech,Virginia Tech,
Wagner,Wagner,Wagner,
Wake Forest,Wake Forest,Wake Forest,
Washington,Washington,Washington,
Washington St.,Washington St,Washington St.,
Weber St.,Weber State,Weber St.,Weber State
West Virginia,West Virginia,West Virginia,
Western Carolina,W Carolina,Western Carolina,
Western Illinois,W Illinois,Western Illinois,
Western Kentucky,W Kentucky,Western Kentucky,
Western Michigan,W Michigan,Western Michigan,Western Michigan
Wichita St.,Wichita State,Wichita St.,Wichita State
William & Mary,William & Mary,William & Mary,
Winthrop,Winthrop,Winthrop,
Wisconsin,Wisconsin,Wisconsin,Wisconsin
Wofford,Wofford,Wofford,Wofford
Wright St.,Wright State,Wright St.,
Wyoming,Wyoming,Wyoming,
Xavier,Xavier,Xavier,Xavier
Yale,Yale,Yale,
Youngstown St.,Youngstown St,Youngstown St.,